MUNICIPALIDAD,DEPARTAMENTO,ZONA GEOGRAFICA,POBLACION,PIA,PIM,AVANCE %,DEVENGADO
230103-301780: MUNICIPALIDAD DISTRITAL DE CALANA,TACNA,DISTRITO,"3,424",0,"534,580",98.90,"528,439"
080603-300726: MUNICIPALIDAD DISTRITAL DE COMBAPATA,CUSCO ,DISTRITO,"5,026","693,904","507,610",98.80,"501,763"
090706-300873: MUNICIPALIDAD DISTRITAL DE DANIEL HERNANDES,HUANCAVELICA,DISTRITO,"10,002",0,"130,477",98.80,"128,918"
040601-300415: MUNICIPALIDAD PROVINCIAL DE CONDESUYOS - CHUQUIBAMBA,AREQUIPA,PROVINCIA,"16,426","157,592","270,877",98.60,"267,085"
080407-300714: MUNICIPALIDAD DISTRITAL DE TARAY,CUSCO ,DISTRITO,"4,880",0,"998,480",98.50,"983,448"
220701-301740: MUNICIPALIDAD PROVINCIAL DE PICOTA,SAN MARTIN,PROVINCIA,"44,039",0,"120,609",98.50,"118,837"
130110-301136: MUNICIPALIDAD DISTRITAL DE SIMBAL,LA LIBERTAD,DISTRITO,"4,515",0,"718,197",98.40,"706,660"
080808-300747: MUNICIPALIDAD DISTRITAL DE ALTO PICHIGUA,CUSCO ,DISTRITO,"1,981",0,"705,026",98.30,"693,266"
080302-300700: MUNICIPALIDAD DISTRITAL DE ANCAHUASI,CUSCO ,DISTRITO,"7,784","50,000","749,590",98.10,"735,492"
021010-300159: MUNICIPALIDAD DISTRITAL DE PAUCAS,ANCASH,DISTRITO,"1,565",0,"614,163",98.00,"602,065"
030217-300276: MUNICIPALIDAD DISTRITAL DE TUMAY HUARACA,APURIMAC,DISTRITO,"1,912",0,"546,402",97.80,"534,388"
110107-300966: MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO,ICA,DISTRITO,"7,513","400,000","517,834",97.80,"506,494"
210112-301604: MUNICIPALIDAD DISTRITAL DE PLATERIA,PUNO,DISTRITO,"7,346","5,380","538,003",97.80,"526,162"
080102-300685: MUNICIPALIDAD DISTRITAL DE CCORCCA,CUSCO ,DISTRITO,"2,405",0,"521,050",97.60,"508,295"
090601-300852: MUNICIPALIDAD PROVINCIAL DE HUAYTARA,HUANCAVELICA,PROVINCIA,"2,374","285,956","918,447",97.60,"896,681"
200203-301540: MUNICIPALIDAD DISTRITAL DE JILILI,PIURA,DISTRITO,"2,399",0,"590,621",97.60,"576,704"
131202-301210: MUNICIPALIDAD DISTRITAL DE CHAO,LA LIBERTAD,DISTRITO,"39,125",0,"194,431",97.20,"189,039"
130201-301140: MUNICIPALIDAD PROVINCIAL DE ASCOPE,LA LIBERTAD,PROVINCIA,"6,855","380,000","530,696",97.10,"515,078"
080807-300746: MUNICIPALIDAD DISTRITAL DE SUYCKUTAMBO,CUSCO ,DISTRITO,"1,566",0,"820,390",96.30,"790,388"
120501-301086: MUNICIPALIDAD PROVINCIAL DE JUNIN,JUNIN,PROVINCIA,"11,238",0,"192,094",96.00,"184,359"
080608-300731: MUNICIPALIDAD DISTRITAL DE TINTA,CUSCO ,DISTRITO,"5,474","324,499","943,016",95.80,"903,244"
