MUNICIPALIDAD,DEPARTAMENTO,ZONA GEOGRAFICA,POBLACION,PIA,PIM,AVANCE %,DEVENGADO
210310-301632: MUNICIPALIDAD DISTRITAL DE USICAYOS,PUNO,DISTRITO,"8,586","40,000","283,429",99.90,"283,056"
061006-300647: MUNICIPALIDAD DISTRITAL DE JOSE MANUEL QUIROZ,CAJAMARCA,DISTRITO,"3,627",0,"214,960",99.80,"214,552"
021808-300231: MUNICIPALIDAD DISTRITAL DE SANTA,ANCASH,DISTRITO,"22,689","1,520,154","68,648",99.70,"68,447"
210106-301598: MUNICIPALIDAD DISTRITAL DE CHUCUITO,PUNO,DISTRITO,"7,380","19,595","195,460",99.60,"194,618"
100507-300922: MUNICIPALIDAD DISTRITAL DE MONZON,HUANUCO,DISTRITO,"12,077",0,"9,500",99.50,"9,455"
210710-301662: MUNICIPALIDAD DISTRITAL DE VILAVILA,PUNO,DISTRITO,"1,139","20,000","161,839",99.50,"161,103"
210103-301595: MUNICIPALIDAD DISTRITAL DE AMANTANI,PUNO,DISTRITO,"3,430","12,000","454,980",99.30,"451,649"
220913-301771: MUNICIPALIDAD DISTRITAL DE SAUCE,SAN MARTIN,DISTRITO,"6,810",0,"218,478",99.30,"216,843"
020107-300091: MUNICIPALIDAD DISTRITAL DE LA LIBERTAD,ANCASH,DISTRITO,"1,110",0,"227,484",99.10,"225,524"
021908-300240: MUNICIPALIDAD DISTRITAL DE RAGASH,ANCASH,DISTRITO,"2,404",0,"201,936",99.10,"200,117"
010204-300025: MUNICIPALIDAD DISTRITAL DE EL PARCO,AMAZONAS,DISTRITO,"1,287","27,382","143,906",99.00,"142,530"
090718-300884: MUNICIPALIDAD DISTRITAL DE TINTAY PUNCU,HUANCAVELICA,DISTRITO,"2,893",0,"325,581",99.00,"322,298"
100112-301846: MUNICIPALIDAD DISTRITAL DE YACUS,HUANUCO,DISTRITO,"5,092",0,"317,727",99.00,"314,664"
130106-301132: MUNICIPALIDAD DISTRITAL DE LAREDO,LA LIBERTAD,DISTRITO,"43,024","9,320","24,320",99.00,"24,071"
130812-301187: MUNICIPALIDAD DISTRITAL DE TAURIJA,LA LIBERTAD,DISTRITO,"3,032",0,"220,820",99.00,"218,567"
140120-301231: MUNICIPALIDAD DISTRITAL DE TUMAN,LAMBAYEQUE,DISTRITO,"39,773","7,300","86,152",98.90,"85,222"
150121-301270: MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,LIMA,DISTRITO,"6,990","435,956","203,776",98.90,"201,614"
100510-300925: MUNICIPALIDAD DISTRITAL DE SINGA,HUANUCO,DISTRITO,"3,039",0,"250,896",98.80,"247,793"
080503-300718: MUNICIPALIDAD DISTRITAL DE KUNTURKANKI,CUSCO ,DISTRITO,"5,178","300,000","135,441",98.70,"133,700"
120202-301032: MUNICIPALIDAD DISTRITAL DE ACO,JUNIN,DISTRITO,"1,643",0,"160,227",98.70,"158,147"
220904-301762: MUNICIPALIDAD DISTRITAL DE CHAZUTA,SAN MARTIN,DISTRITO,"10,580",0,"57,970",98.70,"57,216"
050403-300466: MUNICIPALIDAD DISTRITAL DE HUAMANGUILLA,AYACUCHO,DISTRITO,"4,188",0,"211,416",98.60,"208,499"
090702-300869: MUNICIPALIDAD DISTRITAL DE ACOSTAMBO,HUANCAVELICA,DISTRITO,"3,365",0,"396,107",98.50,"390,141"
220511-301734: MUNICIPALIDAD DISTRITAL DE ZAPATERO,SAN MARTIN,DISTRITO,"5,857",0,"161,471",98.50,"159,010"
060606-300610: MUNICIPALIDAD DISTRITAL DE PIMPINGOS,CAJAMARCA,DISTRITO,"5,121",0,"393,852",98.40,"387,537"
040517-300411: MUNICIPALIDAD DISTRITAL DE TISCO,AREQUIPA,DISTRITO,"1,483",0,"488,727",98.10,"479,506"
090502-300843: MUNICIPALIDAD DISTRITAL DE ANCO,HUANCAVELICA,DISTRITO,"5,833",0,"133,117",98.10,"130,617"
080304-300702: MUNICIPALIDAD DISTRITAL DE CHINCHAYPUJIO,CUSCO ,DISTRITO,"4,333",0,"121,500",97.80,"118,854"
101102-300954: MUNICIPALIDAD DISTRITAL DE CAHUAC,HUANUCO,DISTRITO,928,0,"558,750",97.60,"545,562"
080602-300725: MUNICIPALIDAD DISTRITAL DE CHECACUPE,CUSCO ,DISTRITO,"5,217","400,000","142,570",97.50,"139,073"
131102-301206: MUNICIPALIDAD DISTRITAL DE LUCMA,LA LIBERTAD,DISTRITO,"4,866",0,"263,073",97.50,"256,371"
190108-301508: MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE ASIS DE YARUSYACAN,PASCO,DISTRITO,"3,568","437,687","122,992",97.50,"119,938"
190306-301527: MUNICIPALIDAD DISTRITAL DE PUERTO BERMUDEZ,PASCO,DISTRITO,"10,662","45,000","8,083",97.50,"7,880"
140117-301228: MUNICIPALIDAD DISTRITAL DE PATAPO,LAMBAYEQUE,DISTRITO,"25,022","4,000","38,000",97.40,"37,000"
240202-301811: MUNICIPALIDAD DISTRITAL DE CASITAS,TUMBES,DISTRITO,"2,700","200,000","320,423",97.40,"312,136"
210110-301602: MUNICIPALIDAD DISTRITAL DE PAUCARCOLLA,PUNO,DISTRITO,"4,368","5,000","215,644",97.20,"209,522"
060110-300558: MUNICIPALIDAD DISTRITAL DE MATARA,CAJAMARCA,DISTRITO,"3,793",0,"427,876",97.10,"415,550"
210212-301619: MUNICIPALIDAD DISTRITAL DE SAN JOSE,PUNO,DISTRITO,"4,923",0,"328,302",96.90,"318,122"
010604-300069: MUNICIPALIDAD DISTRITAL DE HUAMBO,AMAZONAS,DISTRITO,"2,664","106,268","401,153",96.70,"387,801"
030712-300328: MUNICIPALIDAD DISTRITAL DE VILCABAMBA,APURIMAC,DISTRITO,"1,324",0,"423,751",96.10,"407,178"
101005-300950: MUNICIPALIDAD DISTRITAL DE RONDOS,HUANUCO,DISTRITO,"3,356",0,"397,470",96.10,"382,039"
010312-300039: MUNICIPALIDAD DISTRITAL DE YAMBRASBAMBA,AMAZONAS,DISTRITO,"5,757",0,"437,682",95.70,"418,912"
130611-301168: MUNICIPALIDAD DISTRITAL DE SALPO,LA LIBERTAD,DISTRITO,"6,543",0,"325,087",95.70,"311,248"
060610-300614: MUNICIPALIDAD DISTRITAL DE SAN LUIS DE LUCMA,CAJAMARCA,DISTRITO,"2,999",0,"333,024",95.50,"317,990"
220202-301708: MUNICIPALIDAD DISTRITAL DE ALTO BIAVO,SAN MARTIN,DISTRITO,"9,595",0,"160,250",95.20,"152,590"
030106-300256: MUNICIPALIDAD DISTRITAL DE LAMBRAMA,APURIMAC,DISTRITO,"2,813","100,000","109,271",95.10,"103,956"
120908-301125: MUNICIPALIDAD DISTRITAL DE TRES DE DICIEMBRE,JUNIN,DISTRITO,"3,114",0,"347,908",95.10,"331,023"
211304-301697: MUNICIPALIDAD DISTRITAL DE CUTURAPI,PUNO,DISTRITO,"1,344","5,000","106,912",95.10,"101,712"
240104-301807: MUNICIPALIDAD DISTRITAL DE PAMPAS DE HOSPITAL,TUMBES,DISTRITO,"7,578",0,"237,997",95.00,"226,008"
030204-300263: MUNICIPALIDAD DISTRITAL DE HUANCARAMA,APURIMAC,DISTRITO,"5,070",0,"281,603",94.80,"267,028"
090309-300825: MUNICIPALIDAD DISTRITAL DE JULCAMARCA,HUANCAVELICA,DISTRITO,"1,929",0,"345,012",94.70,"326,596"
120503-301088: MUNICIPALIDAD DISTRITAL DE ONDORES,JUNIN,DISTRITO,"1,075","200,000","226,493",94.50,"213,998"
080107-300690: MUNICIPALIDAD DISTRITAL DE SAYLLA,CUSCO ,DISTRITO,"8,338",0,"468,111",94.40,"441,933"
090203-300811: MUNICIPALIDAD DISTRITAL DE ANTA,HUANCAVELICA,DISTRITO,"4,483",0,"477,654",94.40,"450,984"
200303-301550: MUNICIPALIDAD DISTRITAL DE EL CARMEN DE LA FRONTERA,PIURA,DISTRITO,"11,186",0,"42,500",94.10,"40,000"
220708-301747: MUNICIPALIDAD DISTRITAL DE SHAMBOYACU,SAN MARTIN,DISTRITO,"10,440",0,"90,597",93.90,"85,109"
060403-300580: MUNICIPALIDAD DISTRITAL DE CHADIN,CAJAMARCA,DISTRITO,"3,632","56,098","392,698",93.30,"366,280"
210105-301597: MUNICIPALIDAD DISTRITAL DE CAPACHICA,PUNO,DISTRITO,"7,167","24,000","139,040",93.30,"129,717"
040407-300387: MUNICIPALIDAD DISTRITAL DE HUANCARQUI,AREQUIPA,DISTRITO,"1,586",0,"214,940",93.00,"199,907"
100703-300936: MUNICIPALIDAD DISTRITAL DE SAN BUENAVENTURA,HUANUCO,DISTRITO,"2,097","50,000","415,407",93.00,"386,204"
060811-300633: MUNICIPALIDAD DISTRITAL DE SAN JOSE DEL ALTO,CAJAMARCA,DISTRITO,"8,050",0,"159,918",92.70,"148,289"
090507-300848: MUNICIPALIDAD DISTRITAL DE PAUCARBAMBA,HUANCAVELICA,DISTRITO,"4,362","231,367","163,869",92.70,"151,868"
230401-301796: MUNICIPALIDAD PROVINCIAL DE TARATA,TACNA,PROVINCIA,"6,140","5,000","156,138",92.70,"144,699"
061005-300646: MUNICIPALIDAD DISTRITAL DE ICHOCAN,CAJAMARCA,DISTRITO,"1,971",0,"257,000",92.60,"238,049"
150139-301288: MUNICIPALIDAD DISTRITAL DE SANTA ROSA,LIMA,DISTRITO,"37,940","155,961","65,124",92.60,"60,294"
021702-300215: MUNICIPALIDAD DISTRITAL DE CATAC,ANCASH,DISTRITO,"4,060",0,"219,827",92.30,"202,805"
030606-300314: MUNICIPALIDAD DISTRITAL DE ONGOY,APURIMAC,DISTRITO,"2,352","191,916","241,756",91.70,"221,779"
061003-300644: MUNICIPALIDAD DISTRITAL DE EDUARDO VILLANUEVA,CAJAMARCA,DISTRITO,"3,039",0,"255,777",91.50,"233,999"
030109-300259: MUNICIPALIDAD DISTRITAL DE TAMBURCO,APURIMAC,DISTRITO,"12,386","40,000","90,311",91.30,"82,431"
100505-300920: MUNICIPALIDAD DISTRITAL DE JIRCAN,HUANUCO,DISTRITO,"1,249",0,"408,714",91.30,"373,029"
200308-301555: MUNICIPALIDAD DISTRITAL DE SONDORILLO,PIURA,DISTRITO,"10,162",0,"26,077",91.30,"23,795"
021807-300230: MUNICIPALIDAD DISTRITAL DE SAMANCO,ANCASH,DISTRITO,"5,225","100,000","229,712",91.10,"209,356"
061202-300663: MUNICIPALIDAD DISTRITAL DE SAN BERNARDINO,CAJAMARCA,DISTRITO,"4,578",0,"143,482",90.60,"129,971"
081204-300776: MUNICIPALIDAD DISTRITAL DE CCARHUAYO,CUSCO ,DISTRITO,"3,156","350,000","436,500",90.50,"394,943"
030208-300267: MUNICIPALIDAD DISTRITAL DE PACOBAMBA,APURIMAC,DISTRITO,"3,334","18,000","197,735",90.40,"178,814"
210904-301675: MUNICIPALIDAD DISTRITAL DE TILALI,PUNO,DISTRITO,"2,512","145,697","245,343",90.40,"221,871"
060806-300628: MUNICIPALIDAD DISTRITAL DE LAS PIRIAS,CAJAMARCA,DISTRITO,"4,643","229,872","586,030",89.80,"526,335"
140113-301224: MUNICIPALIDAD DISTRITAL DE REQUE,LAMBAYEQUE,DISTRITO,"17,794","15,000","295,983",89.70,"265,634"
061112-300660: MUNICIPALIDAD DISTRITAL DE TONGOD,CAJAMARCA,DISTRITO,"2,530","245,997","735,538",89.00,"654,324"
080408-300715: MUNICIPALIDAD DISTRITAL DE YANATILE,CUSCO ,DISTRITO,"9,473","10,000","553,632",88.80,"491,830"
210215-301622: MUNICIPALIDAD DISTRITAL DE TIRAPATA,PUNO,DISTRITO,"2,967","30,000","504,350",87.20,"439,747"
090202-300810: MUNICIPALIDAD DISTRITAL DE ANDABAMBA,HUANCAVELICA,DISTRITO,"3,171",0,"702,354",86.40,"606,505"
110112-300971: MUNICIPALIDAD DISTRITAL DE SUBTANJALLA,ICA,DISTRITO,"32,666","13,500","284,700",86.20,"245,302"
081211-300783: MUNICIPALIDAD DISTRITAL DE OROPESA,CUSCO ,DISTRITO,"11,563",0,"238,869",85.00,"203,096"
050509-301848: MUNICIPALIDAD DISTRITAL DE SAMUGARI,AYACUCHO,DISTRITO,"10,997","141,000","129,862",84.50,"109,677"
020305-300106: MUNICIPALIDAD DISTRITAL DE MIRGAS,ANCASH,DISTRITO,"4,135",0,"832,525",83.70,"696,483"
140102-301213: MUNICIPALIDAD DISTRITAL DE CHONGOYAPE,LAMBAYEQUE,DISTRITO,"19,629",0,"382,091",83.10,"317,408"
090506-300847: MUNICIPALIDAD DISTRITAL DE LOCROJA,HUANCAVELICA,DISTRITO,"3,464",0,"546,090",82.70,"451,519"
131201-301209: MUNICIPALIDAD PROVINCIAL DE VIRU,LA LIBERTAD,PROVINCIA,"58,418","10,000","89,500",82.70,"74,060"
050507-300477: MUNICIPALIDAD DISTRITAL DE SANTA ROSA,AYACUCHO,DISTRITO,"12,686",0,"113,128",82.00,"92,785"
022005-300247: MUNICIPALIDAD DISTRITAL DE QUILLO,ANCASH,DISTRITO,"13,137",0,"307,328",81.50,"250,334"
080303-300701: MUNICIPALIDAD DISTRITAL DE CACHIMAYO,CUSCO ,DISTRITO,"2,742","124,788","792,082",81.20,"643,375"
220501-301724: MUNICIPALIDAD PROVINCIAL DE LAMAS,SAN MARTIN,PROVINCIA,"88,637",0,"50,547",81.20,"41,060"
200604-301576: MUNICIPALIDAD DISTRITAL DE LANCONES,PIURA,DISTRITO,"12,119","155,458","221,889",81.00,"179,810"
130702-301172: MUNICIPALIDAD DISTRITAL DE GUADALUPE,LA LIBERTAD,DISTRITO,"44,119","70,000","128,650",80.60,"103,649"
080305-300703: MUNICIPALIDAD DISTRITAL DE HUAROCONDO,CUSCO ,DISTRITO,"4,634","225,236","610,236",80.50,"490,991"
110505-300999: MUNICIPALIDAD DISTRITAL DE PARACAS,ICA,DISTRITO,"9,011","17,058","616,829",80.10,"494,120"
040125-300355: MUNICIPALIDAD DISTRITAL DE VITOR,AREQUIPA,DISTRITO,"4,506",0,"1,301,201",79.40,"1,033,497"
210404-301636: MUNICIPALIDAD DISTRITAL DE KELLUYO,PUNO,DISTRITO,"6,411","404,919","1,131,010",79.30,"896,547"
040308-300375: MUNICIPALIDAD DISTRITAL DE CHAPARRA,AREQUIPA,DISTRITO,"3,613",0,"1,626,758",79.10,"1,286,849"
030414-300299: MUNICIPALIDAD DISTRITAL DE TAPAIRIHUA,APURIMAC,DISTRITO,"1,901",0,"1,119,700",78.70,"880,738"
010501-300043: MUNICIPALIDAD PROVINCIAL DE LUYA - LAMUD,AMAZONAS,PROVINCIA,"4,118","1,000,000","1,171,506",77.60,"909,179"
190109-301509: MUNICIPALIDAD DISTRITAL DE SIMON BOLIVAR,PASCO,DISTRITO,"9,465","10,000","1,557,348",77.50,"1,206,215"
080708-300739: MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO ,DISTRITO,"8,472","249,560","4,990,298",77.20,"3,851,662"
030504-300306: MUNICIPALIDAD DISTRITAL DE HAQUIRA,APURIMAC,DISTRITO,"9,712",0,"1,836,417",77.10,"1,415,055"
080803-300742: MUNICIPALIDAD DISTRITAL DE COPORAQUE,CUSCO ,DISTRITO,"9,824","576,354","1,055,721",77.00,"812,639"
050806-300513: MUNICIPALIDAD DISTRITAL DE OYOLO,AYACUCHO,DISTRITO,"1,647",0,"2,004,193",75.50,"1,513,388"
080703-300734: MUNICIPALIDAD DISTRITAL DE CHAMACA,CUSCO ,DISTRITO,"6,503",0,"1,569,267",75.10,"1,178,251"
021015-300164: MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CHANA,ANCASH,DISTRITO,"2,694",0,"2,246,834",74.90,"1,683,174"
040301-300368: MUNICIPALIDAD PROVINCIAL DE CARAVELI,AREQUIPA,PROVINCIA,"4,227",0,"1,027,513",73.60,"756,204"
100501-300916: MUNICIPALIDAD PROVINCIAL DE HUAMALIES - LLATA,HUANUCO,PROVINCIA,"13,718",0,"879,311",72.40,"636,956"
040801-300429: MUNICIPALIDAD PROVINCIAL DE LA UNION - COTAHUASI,AREQUIPA,PROVINCIA,"12,797","300,000","833,513",72.00,"599,849"
040520-300414: MUNICIPALIDAD DISTRITAL DE MAJES,AREQUIPA,DISTRITO,"70,780","110,282","215,282",71.30,"153,541"
211104-301684: MUNICIPALIDAD DISTRITAL DE CARACOTO,PUNO,DISTRITO,"7,479","633,184","4,729,984",70.90,"3,354,060"
211004-301679: MUNICIPALIDAD DISTRITAL DE QUILCAPUNCU,PUNO,DISTRITO,"5,541","520,000","2,527,405",69.40,"1,754,004"
021013-300162: MUNICIPALIDAD DISTRITAL DE RAPAYAN,ANCASH,DISTRITO,"1,461","890,000","3,097,785",68.30,"2,115,733"
021011-300160: MUNICIPALIDAD DISTRITAL DE PONTO,ANCASH,DISTRITO,"2,725","2,956,237","1,550,770",68.00,"1,054,062"
081006-300763: MUNICIPALIDAD DISTRITAL DE OMACHA,CUSCO ,DISTRITO,"5,842","300,000","3,332,475",67.00,"2,233,275"
120302-301047: MUNICIPALIDAD DISTRITAL DE PERENE,JUNIN,DISTRITO,"60,225",0,"201,721",67.00,"135,120"
060108-300556: MUNICIPALIDAD DISTRITAL DE LOS BA¥OS DEL INCA,CAJAMARCA,DISTRITO,"53,298","1,500","199,014",65.10,"129,615"
030502-300304: MUNICIPALIDAD DISTRITAL DE COTABAMBAS,APURIMAC,DISTRITO,"4,052",0,"2,124,544",63.90,"1,358,262"
080604-300727: MUNICIPALIDAD DISTRITAL DE MARANGANI,CUSCO ,DISTRITO,"10,399","202,000","681,297",63.70,"434,125"
081102-300768: MUNICIPALIDAD DISTRITAL DE CAICAY,CUSCO ,DISTRITO,"3,050","104,675","1,244,038",63.60,"790,847"
021301-300181: MUNICIPALIDAD PROVINCIAL DE MARISCAL LUZURIAGA - PISCOBAMBA,ANCASH,PROVINCIA,"21,787",0,"910,162",63.10,"573,999"
080508-300723: MUNICIPALIDAD DISTRITAL DE TUPAC AMARU,CUSCO ,DISTRITO,"2,620","342,375","1,174,120",62.80,"737,519"
120206-301036: MUNICIPALIDAD DISTRITAL DE COMAS,JUNIN,DISTRITO,"5,369",0,"1,003,702",62.20,"623,937"
030218-300277: MUNICIPALIDAD DISTRITAL DE TURPO,APURIMAC,DISTRITO,"3,736",0,"1,019,205",61.80,"629,541"
040603-300417: MUNICIPALIDAD DISTRITAL DE CAYARANI,AREQUIPA,DISTRITO,"3,275",0,"1,197,979",61.80,"740,262"
211206-301690: MUNICIPALIDAD DISTRITAL DE QUIACA,PUNO,DISTRITO,"2,308","412,678","2,010,012",60.40,"1,213,858"
210202-301609: MUNICIPALIDAD DISTRITAL DE ACHAYA,PUNO,DISTRITO,"2,782",0,"1,864,705",60.30,"1,124,958"
130105-301131: MUNICIPALIDAD DISTRITAL DE LA ESPERANZA,LA LIBERTAD,DISTRITO,"224,427","903,240","187,087",55.70,"104,239"
081001-300758: MUNICIPALIDAD PROVINCIAL DE PARURO,CUSCO ,PROVINCIA,"26,644","9,000","1,424,706",53.80,"765,974"
110111-300970: MUNICIPALIDAD DISTRITAL DE SANTIAGO,ICA,DISTRITO,"30,933","397,401","3,110,645",52.90,"1,646,915"
140306-301243: MUNICIPALIDAD DISTRITAL DE MORROPE,LAMBAYEQUE,DISTRITO,"56,131","35,900","510,029",51.70,"263,487"
200505-301570: MUNICIPALIDAD DISTRITAL DE LA HUACA,PIURA,DISTRITO,"12,950","72,883","1,569,387",49.00,"768,361"
020601-300125: MUNICIPALIDAD PROVINCIAL DE CARHUAZ,ANCASH,PROVINCIA,"16,675","937,093","4,632,070",44.50,"2,060,805"
120303-301048: MUNICIPALIDAD DISTRITAL DE PICHANAQUI,JUNIN,DISTRITO,"42,869","1,800,000","5,169,749",42.10,"2,176,258"
190206-301519: MUNICIPALIDAD DISTRITAL DE SANTA ANA DE TUSI,PASCO,DISTRITO,"17,809",0,"1,037,355",41.80,"433,249"
150116-301265: MUNICIPALIDAD DISTRITAL DE LINCE,LIMA,DISTRITO,"59,578","60,000","1,093,496",38.30,"419,120"
200801-301587: MUNICIPALIDAD PROVINCIAL DE SECHURA,PIURA,PROVINCIA,"89,597","2,492,784","9,536,482",35.60,"3,397,113"
010701-300078: MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA - BAGUA GRANDE,AMAZONAS,PROVINCIA,"119,294","110,472","693,338",30.40,"210,426"
110207-300980: MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO,ICA,DISTRITO,"73,510","3,016,000","7,555,969",26.60,"2,006,237"
160112-301432: MUNICIPALIDAD DISTRITAL DE BELEN,LORETO,DISTRITO,"76,973","86,820","3,016,371",16.70,"504,661"
190101-301501: MUNICIPALIDAD PROVINCIAL DE PASCO - CHAUPIMARCA,PASCO,PROVINCIA,"91,092",0,"1,056,941",13.60,"143,539"
140308-301245: MUNICIPALIDAD DISTRITAL DE OLMOS,LAMBAYEQUE,DISTRITO,"55,691",0,"1,176,667",8.50,"100,200"
240301-301812: MUNICIPALIDAD PROVINCIAL DE ZARUMILLA,TUMBES,PROVINCIA,"56,038","1,494,642","4,413,743",8.30,"366,540"
061001-300642: MUNICIPALIDAD PROVINCIAL DE SAN MARCOS - PEDRO GALVEZ,CAJAMARCA,PROVINCIA,"51,678","145,432","1,060,417",2.60,"27,178"
030201-300260: MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,APURIMAC,PROVINCIA,"150,758",0,"741,189",0.50,"3,526"
150112-301261: MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,LIMA,DISTRITO,"222,850","32,500","610,007",0.00,0
200501-301566: MUNICIPALIDAD PROVINCIAL DE PAITA,PIURA,PROVINCIA,"129,892",0,"729,818",0.00,0
160201-301434: MUNICIPALIDAD PROVINCIAL DEL ALTO AMAZONAS - YURIMAGUAS,LORETO,PROVINCIA,"122,343","56,072","256,344",0.00,"256,343"
010103-300003: MUNICIPALIDAD DISTRITAL DE BALSAS,AMAZONAS,DISTRITO,"1,180",0,"17,600",100.00,"17,600"
010113-300013: MUNICIPALIDAD DISTRITAL DE MARISCAL CASTILLA,AMAZONAS,DISTRITO,"1,534",0,"12,000",100.00,"12,000"
010523-300065: MUNICIPALIDAD DISTRITAL DE TRITA,AMAZONAS,DISTRITO,"1,457",0,"20,000",100.00,"20,000"
010704-300081: MUNICIPALIDAD DISTRITAL DE EL MILAGRO,AMAZONAS,DISTRITO,"6,503",0,"55,014",100.00,"55,014"
020504-300113: MUNICIPALIDAD DISTRITAL DE AQUIA,ANCASH,DISTRITO,"2,079","200,000","18,000",100.00,"18,000"
020608-300132: MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE ACO,ANCASH,DISTRITO,"2,502","15,000","10,000",100.00,"10,000"
020102-300086: MUNICIPALIDAD DISTRITAL DE COCHABAMBA,ANCASH,DISTRITO,"1,698",0,"79,522",100.00,"79,521"
020104-300088: MUNICIPALIDAD DISTRITAL DE HUANCHAY,ANCASH,DISTRITO,"1,652",0,"82,611",100.00,"82,609"
021103-300168: MUNICIPALIDAD DISTRITAL DE CULEBRAS,ANCASH,DISTRITO,"3,405",0,"6,625",100.00,"6,624"
021210-300180: MUNICIPALIDAD DISTRITAL DE YURACMARCA,ANCASH,DISTRITO,"2,193",0,"18,000",100.00,"18,000"
021509-300207: MUNICIPALIDAD DISTRITAL DE PAMPAS,ANCASH,DISTRITO,"3,697",0,"6,000",100.00,"6,000"
030205-300264: MUNICIPALIDAD DISTRITAL DE HUANCARAY,APURIMAC,DISTRITO,"3,846","11,500","20,200",100.00,"20,200"
030301-300279: MUNICIPALIDAD PROVINCIAL DE ANTABAMBA,APURIMAC,PROVINCIA,"2,860",0,"4,000",100.00,"4,000"
030409-300294: MUNICIPALIDAD DISTRITAL DE LUCRE,APURIMAC,DISTRITO,"1,507",0,"15,222",100.00,"15,221"
030704-300320: MUNICIPALIDAD DISTRITAL DE HUAYLLATI,APURIMAC,DISTRITO,"1,346","110,596","12,658",100.00,"12,658"
040519-300413: MUNICIPALIDAD DISTRITAL DE YANQUE,AREQUIPA,DISTRITO,"2,158","250,000","23,066",100.00,"23,066"
050607-300485: MUNICIPALIDAD DISTRITAL DE HUAC - HUAS,AYACUCHO,DISTRITO,"1,550",0,"13,000",100.00,"13,000"
060406-300583: MUNICIPALIDAD DISTRITAL DE CHOROPAMPA,CAJAMARCA,DISTRITO,"2,311",0,"69,876",100.00,"69,875"
060602-300606: MUNICIPALIDAD DISTRITAL DE CALLAYUC,CAJAMARCA,DISTRITO,"9,627",0,"15,000",100.00,"15,000"
060808-300630: MUNICIPALIDAD DISTRITAL DE PUCARA,CAJAMARCA,DISTRITO,"6,850","2,500","16,000",100.00,"16,000"
061108-300656: MUNICIPALIDAD DISTRITAL DE NANCHOC,CAJAMARCA,DISTRITO,"1,370",0,"15,500",100.00,"15,500"
061307-300672: MUNICIPALIDAD DISTRITAL DE PULAN,CAJAMARCA,DISTRITO,"3,887",0,"10,500",100.00,"10,500"
080203-300694: MUNICIPALIDAD DISTRITAL DE ACOS,CUSCO ,DISTRITO,"2,350",0,"5,440",100.00,"5,440"
080502-300717: MUNICIPALIDAD DISTRITAL DE CHECCA,CUSCO ,DISTRITO,"5,485",0,"50,640",100.00,"50,640"
081003-300760: MUNICIPALIDAD DISTRITAL DE CCAPI,CUSCO ,DISTRITO,"3,121",0,"16,876",100.00,"16,876"
081207-300779: MUNICIPALIDAD DISTRITAL DE HUARO,CUSCO ,DISTRITO,"4,965","80,000","12,000",100.00,"12,000"
090204-300812: MUNICIPALIDAD DISTRITAL DE CAJA,HUANCAVELICA,DISTRITO,"1,809",0,"19,000",100.00,"19,000"
090503-300844: MUNICIPALIDAD DISTRITAL DE CHINCHIHUASI,HUANCAVELICA,DISTRITO,"1,889","16,000","20,000",100.00,"20,000"
090611-300862: MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE SANGAYAICO,HUANCAVELICA,DISTRITO,"1,029",0,"11,500",100.00,"11,500"
090613-300864: MUNICIPALIDAD DISTRITAL DE SANTIAGO DE CHOCORVOS,HUANCAVELICA,DISTRITO,"1,600",0,"20,500",100.00,"20,500"
100108-300892: MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CHAULAN,HUANUCO,DISTRITO,"2,748",0,"30,000",100.00,"30,000"
100202-300896: MUNICIPALIDAD DISTRITAL DE CAYNA,HUANUCO,DISTRITO,"2,391",0,"18,200",100.00,"18,200"
100317-300908: MUNICIPALIDAD DISTRITAL DE RIPAN,HUANUCO,DISTRITO,"5,324",0,"35,000",100.00,"35,000"
100903-300943: MUNICIPALIDAD DISTRITAL DE HONORIA,HUANUCO,DISTRITO,"4,782",0,"36,157",100.00,"36,157"
100905-300945: MUNICIPALIDAD DISTRITAL DE YUYAPICHIS,HUANUCO,DISTRITO,"6,749",0,"21,000",100.00,"21,000"
101003-300948: MUNICIPALIDAD DISTRITAL DE JIVIA,HUANUCO,DISTRITO,"1,035",0,"70,008",100.00,"70,008"
101106-300958: MUNICIPALIDAD DISTRITAL DE OBAS,HUANUCO,DISTRITO,"3,684",0,"30,000",100.00,"30,000"
110109-300968: MUNICIPALIDAD DISTRITAL DE SAN JOSE DE LOS MOLINOS,ICA,DISTRITO,"7,989",0,"22,000",100.00,"22,000"
110209-300982: MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE HUACARPANA,ICA,DISTRITO,"1,083",0,"20,000",100.00,"20,000"
120108-301008: MUNICIPALIDAD DISTRITAL DE CHONGOS ALTO,JUNIN,DISTRITO,"1,523",0,"32,787",100.00,"32,787"
120124-301019: MUNICIPALIDAD DISTRITAL DE PARIAHUANCA,JUNIN,DISTRITO,"5,201","118,500","4,660",100.00,"4,658"
